TransactionDate,Description,Category,AmountUSD,Balance,TransactionClassification,MerchantClassification,NormalizedEntity,TransactionName,IsCreditCardExpense,Reason,Confidence,RuleHit
2025-03-24,99achr0016706780001 11/19/2024 ach adjustment,Refunds,5800.0,,Other,Other,Other,99achr0016706780001 11/19/2024 ach adjustment,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-20,albertsons,General Expenses,-427.8,,Other,Other,Other,albertsons,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-20,albertsons,General Expenses,-431.8,,Other,Other,Other,albertsons,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-15,analysis service charge,General Expenses,-464.95,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-13,analysis service charge,General Expenses,-452.95,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-15,analysis service charge,General Expenses,-636.95,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-02-14,analysis service charge,General Expenses,-1088.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-03-14,analysis service charge,General Expenses,-1137.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-04-14,analysis service charge,General Expenses,-1287.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-05-14,analysis service charge,General Expenses,-1233.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-13,analysis service charge,General Expenses,-1736.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-15,analysis service charge,General Expenses,-1320.95,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-14,analysis service charge,General Expenses,-1717.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-15,analysis service charge,General Expenses,-1013.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-10-15,analysis service charge,General Expenses,-1300.45,,Other,Other,Other,analysis service charge,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-29,autozone,General Expenses,-116.37,,Other,Other,Other,autozone,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-04-03,best buy,General Expenses,-280.13,,Other,Other,Other,best buy,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-25,best buy,General Expenses,-1399.67,,Other,Other,Other,best buy,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-10-22,big 5 sporting goods,General Expenses,-61.39,,Other,Other,Other,big 5 sporting goods,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-04-07,check #1542,Internal Transfer,-263.5,,Other,Other,Other,check #1542,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-10-28,check #1557,Internal Transfer,-61620.22,,Other,Other,Other,check #1557,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-08,check #1558,Internal Transfer,-255.0,,Other,Other,Other,check #1558,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-06,check #1559,Internal Transfer,-255.0,,Other,Other,Other,check #1559,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-06,check #1560,Internal Transfer,-255.0,,Other,Other,Other,check #1560,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-07,check #1562,Internal Transfer,-255.0,,Other,Other,Other,check #1562,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-06,check #1563,Internal Transfer,-255.0,,Other,Other,Other,check #1563,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-18,check #1565,Internal Transfer,-246.55,,Other,Other,Other,check #1565,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-08,check #1567,Internal Transfer,-14902.12,,Other,Other,Other,check #1567,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-08,check #1568,Internal Transfer,-255.0,,Other,Other,Other,check #1568,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-08,check #1569,Internal Transfer,-255.0,,Other,Other,Other,check #1569,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-08,check #1570,Internal Transfer,-255.0,,Other,Other,Other,check #1570,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-15,check #1571,Internal Transfer,-255.0,,Other,Other,Other,check #1571,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-12,check #1572,Internal Transfer,-204.0,,Other,Other,Other,check #1572,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-18,check #1573,Internal Transfer,-68.0,,Other,Other,Other,check #1573,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-14,check #1574,Internal Transfer,-6000.0,,Other,Other,Other,check #1574,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-15,check #1575,Internal Transfer,-246.5,,Other,Other,Other,check #1575,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-22,check #1576,Internal Transfer,-357.0,,Other,Other,Other,check #1576,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-18,check #1577,Internal Transfer,-255.0,,Other,Other,Other,check #1577,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-25,check #1579,Internal Transfer,-255.0,,Other,Other,Other,check #1579,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-18,check #1580,Internal Transfer,-331.5,,Other,Other,Other,check #1580,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-18,check #1581,Internal Transfer,-110.5,,Other,Other,Other,check #1581,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-22,check #1582,Internal Transfer,-399.5,,Other,Other,Other,check #1582,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-22,check #1583,Internal Transfer,-272.0,,Other,Other,Other,check #1583,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-26,check #1584,Internal Transfer,-136.0,,Other,Other,Other,check #1584,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-06,check #1585,Internal Transfer,-399.9,,Other,Other,Other,check #1585,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-04,check #1586,Internal Transfer,-119.0,,Other,Other,Other,check #1586,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-09,check #1587,Internal Transfer,-399.5,,Other,Other,Other,check #1587,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-09,check #1588,Internal Transfer,-399.5,,Other,Other,Other,check #1588,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-06,check #1589,Internal Transfer,-544.0,,Other,Other,Other,check #1589,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-09,check #1590,Internal Transfer,-362.0,,Other,Other,Other,check #1590,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-13,check #1591,Internal Transfer,-187.0,,Other,Other,Other,check #1591,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-16,check #1592,Internal Transfer,-399.5,,Other,Other,Other,check #1592,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-13,check #1593,Internal Transfer,-399.5,,Other,Other,Other,check #1593,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-13,check #1594,Internal Transfer,-399.5,,Other,Other,Other,check #1594,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-23,check #1595,Internal Transfer,-306.0,,Other,Other,Other,check #1595,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-23,check #1596,Internal Transfer,-2500.0,,Other,Other,Other,check #1596,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-19,check #1598,Internal Transfer,-4500.0,,Other,Other,Other,check #1598,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-19,check #1599,Internal Transfer,-1500.0,,Other,Other,Other,check #1599,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-18,check #1600,Internal Transfer,-4500.0,,Other,Other,Other,check #1600,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-19,check #1601,Internal Transfer,-2500.0,,Other,Other,Other,check #1601,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-19,check #1602,Internal Transfer,-2500.0,,Other,Other,Other,check #1602,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-19,check #1603,Internal Transfer,-250.0,,Other,Other,Other,check #1603,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-24,check #1605,Internal Transfer,-3500.0,,Other,Other,Other,check #1605,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-30,check #1607,Internal Transfer,-250.0,,Other,Other,Other,check #1607,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-30,check #1608,Internal Transfer,-250.0,,Other,Other,Other,check #1608,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-27,check #1609,Internal Transfer,-500.0,,Other,Other,Other,check #1609,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-07,check #1610,Internal Transfer,-1123.0,,Other,Other,Other,check #1610,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-08,check #1611,Internal Transfer,-16006.82,,Other,Other,Other,check #1611,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-08,check #1612,Internal Transfer,-148.11,,Other,Other,Other,check #1612,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-29,check #1615,Internal Transfer,-1994.4,,Other,Other,Other,check #1615,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-06,chevron,General Expenses,-72.71,,Other,Other,Other,chevron,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-04,chevron,General Expenses,-85.89,,Other,Other,Other,chevron,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-25,chevron,General Expenses,-30.0,,Other,Other,Other,chevron,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-25,debit purchase 63139 5131 speedcosta mesa ca 09/24 card 3519,General Expenses,-66.01,,Other,Other,Other,debit purchase 63139 5131 speedcosta mesa ca 09/24 card 3519,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-10-28,debit purchase signature glass costa mesa ca 10/28 card 8208,General Expenses,-535.0,,Other,Other,Other,debit purchase signature glass costa mesa ca 10/28 card 8208,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-25,debit purchase speedway 4374 fountain valca 11/23 card 8208,General Expenses,-40.38,,Other,Other,Other,debit purchase speedway 4374 fountain valca 11/23 card 8208,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-12,domino's,General Expenses,-60.27,,Other,Other,Other,domino's,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-05-12,electronic deposit 8fig inc,Revenue-based Loan,0.5,,Other,Other,Other,electronic deposit 8fig inc,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-02-10,electronic deposit ebay com1ezqkbru,Revenue,172.7,,Other,Other,Other,electronic deposit ebay com1ezqkbru,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-16,electronic deposit ebay com1vuehlyx,Revenue,218.65,,Other,Other,Other,electronic deposit ebay com1vuehlyx,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-08,electronic deposit ebay com4fcxzhuf,Revenue,121.42,,Other,Other,Other,electronic deposit ebay com4fcxzhuf,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-10-07,electronic deposit ebay com9kegt3kz,Revenue,136.25,,Other,Other,Other,electronic deposit ebay com9kegt3kz,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-29,electronic deposit ebay comazi9lbur,Revenue,88.64,,Other,Other,Other,electronic deposit ebay comazi9lbur,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-11-07,electronic deposit ebay combfkj0wvk,Revenue,87.2,,Other,Other,Other,electronic deposit ebay combfkj0wvk,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-03-25,electronic deposit ebay comdbxw3xvr,Revenue,83.73,,Other,Other,Other,electronic deposit ebay comdbxw3xvr,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-13,electronic deposit ebay comhgkq7qp7,Revenue,10.46,,Other,Other,Other,electronic deposit ebay comhgkq7qp7,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-03-04,electronic deposit ebay comi5iqspg4,Revenue,22.48,,Other,Other,Other,electronic deposit ebay comi5iqspg4,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-04-17,electronic deposit ebay comijtebd7o,Revenue,82.13,,Other,Other,Other,electronic deposit ebay comijtebd7o,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-29,electronic deposit ebay comiqspdj9f,Revenue,133.46,,Other,Other,Other,electronic deposit ebay comiqspdj9f,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-27,electronic deposit ebay comjbmmhu86,Revenue,192.42,,Other,Other,Other,electronic deposit ebay comjbmmhu86,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-22,electronic deposit ebay comjixo1gf9,Revenue,110.73,,Other,Other,Other,electronic deposit ebay comjixo1gf9,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-15,electronic deposit ebay comjxupesy8,Revenue,11.44,,Other,Other,Other,electronic deposit ebay comjxupesy8,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-05-01,electronic deposit ebay comkhajencs,Revenue,83.37,,Other,Other,Other,electronic deposit ebay comkhajencs,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-10-03,electronic deposit ebay comkilqku7g,Revenue,81.63,,Other,Other,Other,electronic deposit ebay comkilqku7g,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-06-10,electronic deposit ebay commaim9tue,Revenue,106.87,,Other,Other,Other,electronic deposit ebay commaim9tue,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-16,electronic deposit ebay commjdjuit4,Revenue,135.5,,Other,Other,Other,electronic deposit ebay commjdjuit4,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-23,electronic deposit ebay comncdpinoy,Revenue,123.19,,Other,Other,Other,electronic deposit ebay comncdpinoy,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-01-21,electronic deposit ebay compiz54g2x,Revenue,73.26,,Other,Other,Other,electronic deposit ebay compiz54g2x,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-03-11,electronic deposit ebay comqlvjgtme,Revenue,84.41,,Other,Other,Other,electronic deposit ebay comqlvjgtme,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-02,electronic deposit ebay comse86hgod,Revenue,67.29,,Other,Other,Other,electronic deposit ebay comse86hgod,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-09-11,electronic deposit ebay comt89kaxds,Revenue,134.79,,Other,Other,Other,electronic deposit ebay comt89kaxds,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-04-22,electronic deposit ebay comtcdyck6j,Revenue,130.52,,Other,Other,Other,electronic deposit ebay comtcdyck6j,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-10-15,electronic deposit ebay comv7p9xjrq,Revenue,176.28,,Other,Other,Other,electronic deposit ebay comv7p9xjrq,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-02-28,electronic deposit ebay comvmc9ozat,Revenue,45.59,,Other,Other,Other,electronic deposit ebay comvmc9ozat,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2024-12-30,electronic deposit ebay comvnls8m7x,Revenue,89.55,,Other,Other,Other,electronic deposit ebay comvnls8m7x,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-20,electronic deposit ebay comwbvqyubo,Revenue,7.26,,Other,Other,Other,electronic deposit ebay comwbvqyubo,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-08-12,electronic deposit ebay comx4mxvexs,Revenue,292.19,,Other,Other,Other,electronic deposit ebay comx4mxvexs,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-07-11,electronic deposit ebay comxu9eekzo,Revenue,135.44,,Other,Other,Other,electronic deposit ebay comxu9eekzo,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
2025-03-13,electronic deposit ebay comz3beion0,Revenue,84.17,,Other,Other,Other,electronic deposit ebay comz3beion0,False,No specific rule matched; defaulted to fallback.,0.1,RULE_FALLBACK
